date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.58,0.58,0.58
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.698,0.0,0.0,0.0,0.573,2.865,0.973
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.616,0.0,1.0,0.012,0.0,1.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.64,0.0,0.0,0.0,0.565,3.956,1.492
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.86,0.0,1.0,0.116,0.0,1.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,0.0,0.0,0.0,0.557,4.457,2.228
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.884,0.0,2.0,0.302,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,6.256,0.0,0.0,0.0,1.646,6.034,3.432
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,8.965,0.0,3.0,0.581,0.0,1.0,0.163,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,9.709,0.0,0.0,0.0,2.159,8.096,5.241
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,14.14,0.0,4.0,1.14,0.0,1.0,0.267,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,15.547,0.0,0.0,0.0,5.306,11.672,8.248
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,31.0,21.721,0.0,5.0,2.0,0.0,2.0,0.453,0.0,0.0,0.0,0.0,0.0,0.0,12.0,34.0,24.174,0.0,0.0,0.0,6.252,17.715,12.595
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,47.0,33.058,1.0,7.0,3.116,0.0,3.0,0.64,0.0,1.0,0.023,0.0,0.0,0.0,23.0,52.0,36.837,0.0,0.0,0.0,11.756,26.579,18.829
