date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.958,0.958,0.958
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.124,0.0,0.0,0.0,0.958,3.833,2.035
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.124,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.133,0.0,0.0,0.0,0.958,7.666,3.961
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,7.838,0.0,1.0,0.076,0.0,1.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,7.943,0.0,0.0,0.0,2.875,14.375,7.612
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,14.952,0.0,2.0,0.295,0.0,1.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,15.333,0.0,0.0,0.0,5.75,22.999,14.694
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,45.0,29.019,0.0,3.0,0.79,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,47.0,30.01,0.0,0.0,0.0,13.357,44.841,28.631
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,83.0,55.61,0.0,6.0,1.886,0.0,4.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,37.0,87.0,57.905,0.0,0.001,0.0,21.217,49.89,33.205
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,131.0,86.124,1.0,10.0,3.8,0.0,4.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,59.0,136.0,90.733,0.0,0.001,0.001,5.17,11.918,7.951
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,136.0,89.676,3.0,17.0,7.486,0.0,6.0,1.724,0.0,1.0,0.01,0.0,0.0,0.0,65.0,148.0,98.895,0.0,0.001,0.001,5.248,11.95,7.985
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,140.0,88.943,7.0,27.0,14.133,0.0,9.0,3.229,0.0,1.0,0.076,0.0,0.0,0.0,70.0,162.0,106.381,0.0,0.001,0.001,5.649,13.073,8.585
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,130.0,84.933,9.0,45.0,24.038,1.0,16.0,5.667,0.0,2.0,0.181,0.0,0.0,0.0,77.0,174.0,114.819,0.0,0.001,0.001,6.214,14.041,9.266
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,126.0,79.162,17.0,61.0,35.714,2.0,22.0,8.829,0.0,4.0,0.543,0.0,0.0,0.0,83.0,188.0,124.248,0.0,0.001,0.001,6.698,15.171,10.026
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,115.0,72.562,28.0,73.0,47.781,3.0,30.0,12.448,0.0,5.0,1.181,0.0,0.0,0.0,86.0,204.0,133.971,0.0,0.001,0.001,6.94,16.462,10.811
2020-03-12,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.01,39.0,105.0,68.095,35.0,90.0,58.895,4.0,34.0,15.39,0.0,7.0,2.295,0.0,0.0,0.0,91.0,222.0,144.676,0.001,0.001,0.001,7.343,17.915,11.675
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,36.0,109.0,66.829,44.0,102.0,66.714,8.0,35.0,18.219,0.0,13.0,4.657,0.0,0.0,0.0,101.0,245.0,156.419,0.001,0.001,0.001,8.15,19.771,12.623
2020-03-14,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.019,39.0,107.0,67.171,48.0,112.0,72.486,8.0,38.0,20.657,1.0,19.0,8.857,0.0,0.0,0.0,109.0,261.0,169.171,0.001,0.002,0.001,8.796,21.062,13.652
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019,42.0,116.0,69.143,48.0,123.0,75.39,10.0,40.0,22.914,5.0,26.0,14.943,0.0,1.0,0.01,125.0,287.0,182.4,0.001,0.002,0.001,10.087,23.16,14.718
2020-03-16,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.019,48.0,106.0,73.219,47.0,129.0,76.59,12.0,43.0,24.59,12.0,38.0,23.019,0.0,1.0,0.029,137.0,301.0,197.448,0.001,0.002,0.001,11.056,24.29,15.931
2020-03-17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.019,50.0,105.0,78.676,46.0,123.0,76.038,13.0,45.0,26.143,18.0,56.0,32.743,0.0,1.0,0.114,153.0,315.0,213.714,0.001,0.002,0.001,12.347,25.42,17.237
2020-03-18,1.0,0.0,0.0,1.0,0.019,0.0,2.0,0.038,54.0,118.0,83.943,45.0,119.0,74.895,15.0,48.0,27.61,24.0,72.0,44.076,0.0,2.0,0.286,167.0,344.0,230.81,0.001,0.002,0.001,13.476,27.598,18.603
