date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.851,1.851,1.851
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.865,0.0,0.0,0.0,3.57,16.066,6.9
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,11.413,0.0,1.0,0.01,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,11.433,0.0,0.0,0.0,9.578,30.331,18.251
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,52.0,30.0,0.0,1.0,0.125,0.0,2.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,20.0,52.0,30.212,0.0,0.0,0.0,23.731,61.7,35.847
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,117.0,66.173,0.0,3.0,0.663,0.0,2.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,44.0,118.0,67.067,0.0,0.001,0.001,29.079,77.984,44.323
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,175.0,108.375,0.0,8.0,2.26,0.0,4.0,0.673,0.0,0.0,0.0,0.0,0.0,0.0,75.0,176.0,111.308,0.001,0.002,0.001,22.794,53.49,33.829
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,226.0,137.596,1.0,12.0,5.817,0.0,4.0,1.529,0.0,0.0,0.0,0.0,0.0,0.0,93.0,235.0,144.942,0.001,0.002,0.001,14.206,35.898,22.141
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,246.0,150.846,6.0,24.0,13.404,0.0,7.0,3.394,0.0,1.0,0.01,0.0,0.0,0.0,113.0,270.0,167.654,0.001,0.002,0.002,11.5,27.479,17.063
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,240.0,151.538,14.0,53.0,26.49,1.0,12.0,6.577,0.0,1.0,0.048,0.0,0.0,0.0,122.0,300.0,184.654,0.001,0.003,0.002,10.485,25.782,15.869
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,217.0,145.375,21.0,84.0,44.096,4.0,20.0,11.019,0.0,1.0,0.154,0.0,0.0,0.0,135.0,320.0,200.644,0.001,0.003,0.002,10.956,25.969,16.283
2020-03-29,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.01,84.0,215.0,134.962,39.0,114.0,64.788,9.0,27.0,16.173,0.0,4.0,0.635,0.0,0.0,0.0,145.0,350.0,216.558,0.001,0.003,0.002,11.559,27.901,17.263
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,74.0,200.0,125.779,54.0,148.0,84.788,13.0,35.0,21.394,0.0,5.0,1.567,0.0,0.0,0.0,150.0,373.0,233.529,0.001,0.003,0.002,11.893,29.574,18.516
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,69.0,186.0,119.115,62.0,177.0,102.558,15.0,42.0,26.058,0.0,9.0,4.163,0.0,0.0,0.0,164.0,401.0,251.894,0.001,0.004,0.002,12.982,31.743,19.94
2020-04-01,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.019,60.0,188.0,116.173,67.0,201.0,116.683,17.0,53.0,30.721,1.0,17.0,8.51,0.0,0.0,0.0,173.0,436.0,272.087,0.002,0.004,0.002,13.688,34.496,21.528
2020-04-02,0.0,0.0,0.0,1.0,0.01,0.0,1.0,0.029,60.0,185.0,116.365,79.0,210.0,126.327,19.0,59.0,34.779,6.0,33.0,15.913,0.0,0.0,0.0,185.0,468.0,293.385,0.002,0.004,0.003,14.635,37.023,23.209
2020-04-03,0.0,0.0,0.0,1.0,0.019,0.0,2.0,0.048,62.0,195.0,118.654,83.0,219.0,132.385,21.0,65.0,38.798,10.0,52.0,26.577,0.0,0.0,0.0,202.0,492.0,316.413,0.002,0.004,0.003,15.979,38.92,25.03
2020-04-04,0.0,0.0,0.0,1.0,0.019,0.0,2.0,0.067,74.0,202.0,124.087,85.0,212.0,133.548,21.0,70.0,42.087,21.0,73.0,41.375,0.0,0.0,0.0,221.0,540.0,341.096,0.002,0.005,0.003,17.482,42.716,26.982
2020-04-05,1.0,1.0,0.0,1.0,0.067,0.0,2.0,0.135,82.0,206.0,132.529,80.0,202.0,131.423,23.0,73.0,44.654,32.0,104.0,59.288,0.0,1.0,0.115,247.0,578.0,368.01,0.002,0.005,0.003,19.539,45.722,29.102
2020-04-06,1.0,0.0,0.0,1.0,0.067,0.0,2.0,0.202,90.0,222.0,142.5,85.0,198.0,129.212,23.0,78.0,46.606,47.0,145.0,78.481,0.0,3.0,0.298,269.0,622.0,397.096,0.002,0.006,0.004,21.279,49.203,31.388
2020-04-07,1.0,0.0,0.0,1.0,0.067,0.0,2.0,0.269,96.0,235.0,153.375,75.0,196.0,126.385,24.0,82.0,48.192,60.0,174.0,99.875,0.0,4.0,0.788,292.0,671.0,428.615,0.003,0.006,0.004,23.098,53.079,33.843
2020-04-08,1.0,0.0,0.0,2.0,0.106,0.0,3.0,0.375,112.0,256.0,166.163,74.0,199.0,124.288,24.0,80.0,49.115,77.0,207.0,121.769,0.0,7.0,1.856,318.0,734.0,463.192,0.003,0.007,0.004,25.076,58.062,36.494
2020-04-09,2.0,1.0,0.0,1.0,0.096,0.0,3.0,0.471,118.0,279.0,179.096,74.0,198.0,125.519,23.0,81.0,49.74,88.0,236.0,141.731,0.0,11.0,3.731,336.0,790.0,499.817,0.003,0.007,0.004,26.5,62.176,39.242
2020-04-10,2.0,0.0,0.0,1.0,0.125,0.0,3.0,0.596,123.0,339.0,192.404,76.0,203.0,129.625,23.0,82.0,50.067,93.0,253.0,160.0,1.0,18.0,6.952,357.0,884.0,539.048,0.003,0.008,0.005,27.924,68.979,42.091
2020-04-11,2.0,0.0,0.0,3.0,0.183,0.0,6.0,0.779,134.0,379.0,206.019,87.0,214.0,135.885,23.0,77.0,51.173,108.0,275.0,175.625,3.0,26.0,11.875,393.0,963.0,580.577,0.004,0.009,0.005,30.297,74.437,44.987
2020-04-12,3.0,1.0,0.0,1.0,0.163,0.0,6.0,0.942,149.0,408.0,221.817,90.0,234.0,142.731,27.0,80.0,52.558,124.0,294.0,188.913,5.0,42.0,19.269,421.0,1044.0,625.288,0.004,0.009,0.006,32.274,79.579,47.938
2020-04-13,3.0,0.0,0.0,2.0,0.163,0.0,6.0,1.106,152.0,437.0,238.183,96.0,241.0,152.548,30.0,81.0,54.644,132.0,310.0,198.769,13.0,62.0,28.875,451.0,1128.0,673.019,0.004,0.01,0.006,34.489,84.325,50.954
