date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.991,0.991,0.991
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.082,0.0,0.0,0.0,0.983,2.948,2.046
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.094,0.0,1.0,0.024,0.0,1.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.129,0.0,0.0,0.0,0.973,7.787,4.019
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.824,0.0,1.0,0.059,0.0,1.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.929,0.0,0.0,0.0,2.887,12.51,7.631
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,15.071,0.0,2.0,0.329,0.0,1.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,15.471,0.0,0.0,0.0,5.696,20.886,14.687
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,40.0,29.106,0.0,3.0,0.882,0.0,2.0,0.176,0.0,0.0,0.0,0.0,0.0,0.0,19.0,41.0,30.165,0.0,0.0,0.0,17.751,38.304,28.181
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,73.0,55.129,0.0,6.0,1.894,0.0,3.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,38.0,75.0,57.424,0.0,0.0,0.0,34.833,68.75,52.638
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,126.0,105.447,0.0,8.0,3.612,0.0,4.0,0.941,0.0,1.0,0.012,0.0,0.0,0.0,79.0,134.0,110.012,0.0,0.0,0.0,70.813,120.113,98.611
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,227.0,198.682,1.0,16.0,7.4,0.0,6.0,1.882,0.0,1.0,0.012,0.0,0.0,0.0,164.0,241.0,207.976,0.0,0.0,0.0,143.19,210.42,181.587
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,437.0,372.576,6.0,26.0,14.565,0.0,10.0,3.776,0.0,1.0,0.059,0.0,0.0,0.0,311.0,459.0,390.976,0.001,0.001,0.001,263.323,388.634,331.038
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,775.0,682.212,16.0,44.0,28.153,1.0,14.0,7.235,0.0,1.0,0.153,0.0,0.0,0.0,615.0,815.0,717.753,0.001,0.001,0.001,502.443,665.84,586.391
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,1416.0,1238.882,35.0,72.0,52.835,4.0,23.0,13.635,0.0,3.0,0.576,0.0,0.0,0.0,1144.0,1487.0,1305.929,0.002,0.002,0.002,896.803,1165.687,1023.743
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1952.0,2450.0,2201.176,71.0,119.0,98.965,14.0,39.0,25.071,0.0,4.0,1.176,0.0,0.0,0.0,2056.0,2587.0,2326.388,0.003,0.004,0.004,1537.022,1933.986,1739.158
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3412.0,4173.0,3836.635,144.0,222.0,184.882,32.0,66.0,47.329,0.0,7.0,2.541,0.0,0.0,0.0,3611.0,4437.0,4071.388,0.006,0.007,0.007,2557.195,3142.141,2883.227
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5787.0,7141.0,6516.165,277.0,416.0,337.6,67.0,133.0,86.235,1.0,9.0,5.047,0.0,0.0,0.0,6166.0,7624.0,6945.047,0.01,0.013,0.012,4106.826,5077.918,4625.706
2020-02-19,0.0,0.0,0.0,1.0,0.012,0.0,1.0,0.012,9551.0,11801.0,10789.529,534.0,715.0,611.741,120.0,196.0,154.8,2.0,20.0,9.588,0.0,0.0,0.0,10243.0,12654.0,11565.659,0.017,0.021,0.019,6368.206,7867.156,7190.521
2020-02-20,0.0,0.0,0.0,1.0,0.024,0.0,1.0,0.035,15499.0,18942.0,17373.424,952.0,1261.0,1085.953,217.0,333.0,276.129,11.0,32.0,18.576,0.0,1.0,0.035,16730.0,20469.0,18754.118,0.028,0.034,0.031,9633.4,11785.799,10798.898
2020-02-21,1.0,1.0,0.0,1.0,0.035,0.0,1.0,0.071,24267.0,29517.0,27163.871,1670.0,2123.0,1892.565,400.0,552.0,481.929,21.0,52.0,34.976,0.0,1.0,0.059,26495.0,32177.0,29573.4,0.044,0.053,0.049,14018.336,17024.117,15647.067
2020-02-22,2.0,1.0,0.0,1.0,0.024,0.0,2.0,0.094,36945.0,44743.0,41118.741,2835.0,3587.0,3226.047,673.0,935.0,824.635,47.0,87.0,66.247,0.0,1.0,0.106,40557.0,49280.0,45235.776,0.067,0.082,0.075,19562.382,23769.377,21819.105
2020-02-23,3.0,1.0,0.0,2.0,0.106,0.0,2.0,0.2,54071.0,65519.0,60198.212,4716.0,5966.0,5358.565,1163.0,1550.0,1368.906,93.0,153.0,123.776,0.0,2.0,0.259,60148.0,72984.0,67049.718,0.1,0.121,0.111,26246.314,31847.459,29257.85
2020-02-24,7.0,4.0,0.0,3.0,0.188,0.0,3.0,0.388,76411.0,92418.0,85139.835,7759.0,9580.0,8702.212,1937.0,2476.0,2227.176,172.0,275.0,225.118,0.0,3.0,0.553,86353.0,104609.0,96294.894,0.143,0.173,0.16,33841.202,40995.697,37737.588
