date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.282,0.282,0.282
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.405,0.0,1.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.417,0.0,0.0,0.0,0.278,1.111,0.393
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.738,0.0,1.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.75,0.0,0.0,0.0,0.274,1.096,0.479
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.155,0.0,1.0,0.107,0.0,1.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.31,0.0,0.0,0.0,0.27,1.35,0.624
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.56,0.0,2.0,0.298,0.0,1.0,0.107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.964,0.0,0.0,0.0,0.266,1.597,0.789
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.179,0.0,2.0,0.512,0.0,1.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.81,0.0,0.0,0.0,0.262,2.099,1.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.845,0.0,3.0,0.857,0.0,1.0,0.226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.929,0.0,0.0,0.0,0.259,2.327,1.274
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,4.738,0.0,3.0,1.155,0.0,2.0,0.381,0.0,1.0,0.012,0.0,0.0,0.0,3.0,12.0,6.286,0.0,0.0,0.0,0.764,3.056,1.601
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,5.917,0.0,5.0,1.571,0.0,3.0,0.524,0.0,1.0,0.036,0.0,0.0,0.0,3.0,15.0,8.048,0.0,0.0,0.0,0.752,3.762,2.018
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,7.548,0.0,5.0,1.929,0.0,3.0,0.595,0.0,1.0,0.083,0.0,0.0,0.0,3.0,17.0,10.155,0.0,0.0,0.0,0.741,4.197,2.507
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,9.44,0.0,6.0,2.286,0.0,3.0,0.762,0.0,2.0,0.19,0.0,0.0,0.0,4.0,22.0,12.679,0.0,0.0,0.0,0.972,5.347,3.081
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,11.155,0.0,7.0,3.179,0.0,3.0,0.929,0.0,2.0,0.345,0.0,0.0,0.0,5.0,27.0,15.607,0.0,0.0,0.0,1.196,6.457,3.732
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,13.44,0.0,9.0,4.095,0.0,4.0,1.167,0.0,2.0,0.595,0.0,0.0,0.0,10.0,31.0,19.298,0.0,0.0,0.0,2.353,7.294,4.54
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,16.369,0.0,11.0,5.024,0.0,4.0,1.452,0.0,2.0,0.762,0.0,0.0,0.0,11.0,33.0,23.607,0.0,0.0,0.0,2.546,7.637,5.463
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0,20.06,0.0,12.0,6.107,0.0,6.0,1.798,0.0,3.0,1.119,0.0,0.0,0.0,16.0,41.0,29.083,0.0,0.0,0.0,3.641,9.33,6.618
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,24.024,2.0,16.0,7.702,0.0,6.0,2.119,0.0,5.0,1.595,0.0,0.0,0.0,23.0,49.0,35.44,0.0,0.0,0.0,5.145,10.962,7.928
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,45.0,29.44,2.0,17.0,9.286,0.0,7.0,2.5,0.0,5.0,2.143,0.0,1.0,0.012,28.0,58.0,43.381,0.0,0.0,0.0,6.156,12.752,9.535
2020-02-13,1.0,1.0,0.0,1.0,0.012,0.0,1.0,0.012,21.0,56.0,35.405,4.0,17.0,11.357,0.0,7.0,3.0,0.0,6.0,2.869,0.0,1.0,0.048,36.0,73.0,52.679,0.0,0.0,0.0,7.777,15.771,11.37
2020-02-14,1.0,0.0,0.0,1.0,0.012,0.0,1.0,0.024,30.0,63.0,43.238,7.0,20.0,13.417,0.0,9.0,3.536,0.0,7.0,3.762,0.0,1.0,0.083,43.0,87.0,64.036,0.0,0.0,0.0,9.126,18.464,13.573
2020-02-15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024,38.0,73.0,52.762,8.0,25.0,16.0,0.0,11.0,4.321,1.0,8.0,4.607,0.0,1.0,0.226,55.0,101.0,77.917,0.0,0.0,0.0,11.464,21.052,16.194
2020-02-16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.024,47.0,86.0,62.988,10.0,31.0,19.94,0.0,12.0,5.44,1.0,11.0,5.75,0.0,2.0,0.345,66.0,123.0,94.464,0.0,0.0,0.0,13.508,25.173,19.263
