date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.549,0.549,0.549
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.506,0.0,0.0,0.0,0.54,2.159,0.813
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.468,0.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.494,0.0,0.0,0.0,0.531,3.183,1.323
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.544,0.0,1.0,0.114,0.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.684,0.0,0.0,0.0,0.521,3.647,1.919
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.38,0.0,2.0,0.342,0.0,1.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,5.772,0.0,0.0,0.0,1.022,4.601,2.951
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,7.722,0.0,2.0,0.696,0.0,1.0,0.139,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,8.557,0.0,0.0,0.0,2.004,7.517,4.288
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,11.266,0.0,4.0,1.228,0.0,1.0,0.215,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,12.709,0.0,0.0,0.0,2.945,11.289,6.238
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,16.253,0.0,5.0,1.861,0.0,2.0,0.468,0.0,1.0,0.013,0.0,0.0,0.0,10.0,30.0,18.595,0.0,0.0,0.0,4.803,14.409,8.931
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,39.0,24.304,0.0,6.0,2.835,0.0,3.0,0.633,0.0,1.0,0.038,0.0,0.0,0.0,15.0,41.0,27.81,0.0,0.0,0.0,7.044,19.253,13.06
