date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.629,3.629,3.629
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.274,0.0,0.0,0.0,4.381,17.525,9.362
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,12.624,0.0,1.0,0.009,0.0,1.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,12.641,0.0,0.0,0.0,5.325,18.639,11.22
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,38.0,23.179,0.0,2.0,0.103,0.0,1.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,9.0,38.0,23.376,0.0,0.001,0.0,2.901,12.25,7.536
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,47.0,29.803,0.0,4.0,0.735,0.0,1.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,15.0,49.0,30.761,0.0,0.001,0.0,2.338,7.638,4.795
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,54.0,33.205,0.0,8.0,1.957,0.0,3.0,0.581,0.0,0.0,0.0,0.0,0.0,0.0,18.0,57.0,35.744,0.0,0.001,0.001,2.031,6.431,4.033
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,33.684,0.0,10.0,4.598,0.0,5.0,1.248,0.0,0.0,0.0,0.0,0.0,0.0,21.0,60.0,39.53,0.0,0.001,0.001,2.144,6.125,4.035
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,55.0,33.308,2.0,16.0,8.274,0.0,8.0,2.231,0.0,0.0,0.0,0.0,0.0,0.0,24.0,66.0,43.812,0.0,0.001,0.001,2.386,6.562,4.356
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,52.0,31.667,5.0,23.0,12.991,0.0,8.0,3.291,0.0,1.0,0.026,0.0,0.0,0.0,26.0,71.0,47.974,0.0,0.001,0.001,2.568,7.012,4.738
