date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.735,0.735,0.735
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.74,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.75,0.0,0.0,0.0,0.734,2.936,1.285
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.2,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.24,0.0,0.0,0.0,0.733,5.129,2.374
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.53,0.0,1.0,0.13,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,5.68,0.0,0.0,0.0,1.462,8.77,4.151
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,9.45,0.0,2.0,0.29,0.0,1.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,9.87,0.0,0.0,0.0,3.64,12.377,7.186
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,16.16,0.0,3.0,0.64,0.0,2.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,17.09,0.0,0.0,0.0,6.517,18.103,12.375
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,41.0,27.74,0.0,5.0,1.31,0.0,3.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,20.0,41.0,29.56,0.0,0.001,0.001,14.369,29.456,21.237
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,67.0,47.55,0.0,8.0,2.63,0.0,3.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,38.0,70.0,50.96,0.001,0.001,0.001,26.994,49.726,36.2
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,109.0,79.73,1.0,14.0,4.67,0.0,4.0,1.27,0.0,1.0,0.01,0.0,0.0,0.0,68.0,118.0,85.68,0.001,0.002,0.002,47.531,82.48,59.889
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,186.0,135.98,3.0,18.0,7.91,0.0,6.0,2.29,0.0,1.0,0.08,0.0,0.0,0.0,114.0,198.0,146.26,0.002,0.004,0.003,77.875,135.257,99.913
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,298.0,229.3,5.0,25.0,13.77,0.0,8.0,3.94,0.0,1.0,0.21,0.0,0.0,0.0,193.0,325.0,247.22,0.004,0.006,0.005,127.644,214.944,163.503
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,505.0,378.04,15.0,37.0,24.57,1.0,13.0,6.48,0.0,2.0,0.38,0.0,0.0,0.0,321.0,550.0,409.47,0.006,0.01,0.008,202.942,347.72,258.875
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,831.0,614.42,26.0,60.0,41.45,5.0,18.0,10.74,0.0,3.0,0.73,0.0,0.0,0.0,532.0,905.0,667.34,0.01,0.017,0.012,316.177,537.857,396.612
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,1290.0,977.54,47.0,108.0,69.01,8.0,32.0,17.9,0.0,4.0,1.56,0.0,0.0,0.0,850.0,1419.0,1066.01,0.016,0.026,0.02,464.885,776.085,583.026
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.0,1967.0,1499.23,87.0,162.0,116.07,14.0,46.0,29.59,0.0,8.0,2.92,0.0,0.0,0.0,1347.0,2168.0,1647.81,0.025,0.04,0.03,660.671,1063.352,808.211
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.0,2907.0,2210.73,143.0,260.0,191.48,27.0,70.0,49.47,1.0,11.0,5.42,0.0,0.0,0.0,1999.0,3242.0,2457.1,0.037,0.06,0.045,853.598,1384.375,1049.213
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2531.0,4042.0,3109.6,243.0,419.0,310.26,54.0,112.0,80.12,4.0,16.0,9.71,0.0,0.0,0.0,2870.0,4580.0,3509.69,0.053,0.084,0.065,1033.569,1649.389,1263.939
2020-03-14,3.0,3.0,0.0,1.0,0.02,0.0,1.0,0.02,3367.0,5341.0,4136.03,392.0,681.0,495.38,100.0,167.0,127.11,6.0,28.0,16.39,0.0,1.0,0.05,3901.0,6198.0,4774.96,0.072,0.114,0.088,1147.96,1823.906,1405.128
2020-03-15,3.0,0.0,0.0,1.0,0.01,0.0,1.0,0.03,4227.0,6640.0,5186.54,599.0,1047.0,763.1,150.0,244.0,196.96,16.0,46.0,28.72,0.0,1.0,0.13,5033.0,7961.0,6175.45,0.093,0.147,0.114,1175.641,1859.952,1442.758
2020-03-16,3.0,0.0,0.0,1.0,0.02,0.0,1.0,0.05,4938.0,7876.0,6122.04,921.0,1549.0,1142.23,239.0,367.0,296.15,31.0,72.0,49.27,0.0,1.0,0.17,6222.0,9855.0,7609.86,0.115,0.182,0.14,1127.074,1785.169,1378.445
2020-03-17,3.0,0.0,0.0,1.0,0.05,0.0,1.0,0.1,5498.0,8805.0,6838.98,1339.0,2184.0,1641.15,342.0,528.0,428.46,46.0,118.0,81.76,0.0,2.0,0.33,7286.0,11635.0,8990.68,0.134,0.215,0.166,1006.102,1606.643,1241.451
2020-03-18,6.0,3.0,0.0,1.0,0.08,0.0,2.0,0.18,5832.0,9415.0,7233.72,1856.0,2979.0,2266.47,482.0,753.0,595.41,93.0,190.0,133.28,0.0,5.0,0.6,8325.0,13338.0,10229.48,0.154,0.246,0.189,868.082,1391.039,1066.864
2020-03-19,7.0,1.0,0.0,2.0,0.11,0.0,2.0,0.29,5920.0,9535.0,7291.42,2430.0,3863.0,2995.88,639.0,1009.0,793.45,155.0,309.0,215.61,0.0,5.0,1.2,9189.0,14717.0,11297.56,0.169,0.271,0.208,722.892,1158.075,888.966
