date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.157,1.157,1.157
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.636,0.0,0.0,0.0,1.154,5.772,3.043
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.832,0.0,1.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.85,0.0,0.0,0.0,3.454,11.515,6.737
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,12.757,0.0,1.0,0.084,0.0,1.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,12.869,0.0,0.0,0.0,9.179,21.799,14.765
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,37.0,27.243,0.0,3.0,0.43,0.0,1.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,19.0,37.0,27.738,0.0,0.0,0.0,21.692,42.242,31.668
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,77.0,57.785,0.0,4.0,1.159,0.0,2.0,0.234,0.0,0.0,0.0,0.0,0.0,0.0,44.0,78.0,59.178,0.001,0.001,0.001,49.893,88.447,67.103
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,161.0,123.009,0.0,7.0,2.542,0.0,4.0,0.738,0.0,0.0,0.0,0.0,0.0,0.0,95.0,164.0,126.29,0.001,0.002,0.002,106.721,184.235,141.872
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,307.0,258.374,2.0,13.0,6.159,0.0,6.0,1.589,0.0,0.0,0.0,0.0,0.0,0.0,216.0,314.0,266.121,0.003,0.004,0.003,239.565,348.256,295.155
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,614.0,543.944,4.0,21.0,13.206,0.0,8.0,3.439,0.0,0.0,0.0,0.0,0.0,0.0,487.0,637.0,560.589,0.006,0.008,0.007,530.788,694.275,610.993
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.0,1283.0,1133.654,18.0,40.0,28.794,3.0,15.0,7.701,0.0,1.0,0.037,0.0,0.0,0.0,1009.0,1318.0,1170.187,0.012,0.016,0.014,1074.012,1402.922,1245.585
