date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.631,0.631,0.631
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.681,0.0,0.0,0.0,0.628,1.885,1.056
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.659,0.0,1.0,0.022,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.692,0.0,0.0,0.0,0.625,3.126,1.683
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.066,0.0,2.0,0.198,0.0,1.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,4.297,0.0,0.0,0.0,0.621,4.968,2.668
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,6.747,0.0,2.0,0.33,0.0,1.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,7.143,0.0,0.0,0.0,1.232,8.006,4.399
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,10.725,0.0,2.0,0.703,0.0,1.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,11.582,0.0,0.0,0.0,3.655,12.184,7.056
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,16.835,0.0,4.0,1.297,0.0,1.0,0.297,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,18.429,0.0,0.001,0.0,5.407,16.823,11.072
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,42.0,27.154,0.0,5.0,2.077,0.0,2.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,17.0,43.0,29.67,0.0,0.001,0.001,10.035,25.382,17.514
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,59.0,42.462,0.0,7.0,3.429,0.0,4.0,0.758,0.0,1.0,0.022,0.0,0.0,0.0,33.0,63.0,46.67,0.001,0.002,0.001,19.046,36.361,26.936
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,90.0,66.242,1.0,10.0,5.582,0.0,5.0,1.242,0.0,2.0,0.088,0.0,0.0,0.0,54.0,96.0,73.154,0.001,0.002,0.002,30.295,53.858,41.041
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,136.0,103.297,3.0,17.0,9.066,0.0,6.0,2.055,0.0,2.0,0.176,0.0,0.0,0.0,89.0,152.0,114.593,0.002,0.004,0.003,48.188,82.298,62.045
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,202.0,158.066,6.0,24.0,14.044,1.0,8.0,3.473,0.0,3.0,0.407,0.0,0.0,0.0,143.0,226.0,175.989,0.003,0.005,0.004,74.084,117.084,91.175
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,304.0,238.769,10.0,38.0,21.857,1.0,11.0,5.626,0.0,3.0,0.648,0.0,0.0,0.0,220.0,341.0,266.901,0.005,0.008,0.006,107.967,167.349,130.984
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,433.0,353.286,21.0,56.0,34.56,3.0,16.0,8.791,0.0,4.0,1.319,0.0,0.0,0.0,332.0,483.0,397.956,0.008,0.012,0.01,152.583,221.981,182.896
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,632.0,514.253,38.0,75.0,53.571,5.0,27.0,13.681,0.0,6.0,2.33,0.0,0.0,0.0,492.0,721.0,583.835,0.012,0.017,0.014,209.077,306.392,248.103
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,873.0,723.088,61.0,110.0,82.868,9.0,37.0,21.055,0.0,9.0,4.033,0.0,0.0,0.0,677.0,1016.0,831.044,0.016,0.024,0.02,262.414,393.815,322.123
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.0,1198.0,986.626,96.0,162.0,125.725,22.0,51.0,32.011,1.0,13.0,6.209,0.0,0.0,0.0,943.0,1392.0,1150.571,0.023,0.033,0.028,328.761,485.297,401.127
2020-03-11,1.0,1.0,0.0,1.0,0.011,0.0,1.0,0.011,1082.0,1558.0,1303.692,141.0,242.0,187.176,31.0,65.0,47.692,4.0,21.0,9.967,0.0,1.0,0.011,1294.0,1841.0,1548.538,0.031,0.044,0.037,400.221,569.403,478.944
2020-03-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011,1388.0,1988.0,1669.187,213.0,350.0,272.44,46.0,97.0,70.56,8.0,27.0,15.846,0.0,1.0,0.088,1717.0,2414.0,2028.121,0.041,0.058,0.049,465.151,653.974,549.412
2020-03-13,1.0,0.0,0.0,1.0,0.011,0.0,1.0,0.022,1747.0,2440.0,2054.615,318.0,488.0,390.088,79.0,132.0,102.44,16.0,41.0,25.143,0.0,2.0,0.187,2177.0,3055.0,2572.473,0.052,0.073,0.062,510.917,716.974,603.687
2020-03-14,1.0,0.0,0.0,1.0,0.033,0.0,1.0,0.055,2063.0,2889.0,2450.505,452.0,661.0,545.231,117.0,188.0,144.077,25.0,55.0,38.692,0.0,3.0,0.385,2692.0,3737.0,3178.89,0.064,0.089,0.076,542.607,753.038,640.668
2020-03-15,1.0,0.0,0.0,1.0,0.022,0.0,1.0,0.077,2395.0,3283.0,2817.099,611.0,907.0,743.659,162.0,250.0,197.209,42.0,85.0,59.714,0.0,4.0,0.648,3248.0,4477.0,3818.33,0.078,0.107,0.091,558.886,770.598,657.114
2020-03-16,1.0,0.0,0.0,1.0,0.066,0.0,2.0,0.143,2639.0,3730.0,3136.67,831.0,1193.0,981.484,220.0,320.0,262.407,69.0,123.0,91.242,0.0,5.0,1.176,3795.0,5310.0,4472.978,0.091,0.127,0.107,556.284,778.563,655.665
2020-03-17,1.0,0.0,0.0,1.0,0.066,0.0,2.0,0.209,2873.0,4052.0,3388.824,1076.0,1532.0,1256.505,286.0,413.0,340.747,107.0,178.0,137.736,0.0,5.0,1.978,4381.0,6069.0,5125.791,0.105,0.145,0.123,547.442,758.593,640.555
2020-03-18,1.0,0.0,0.0,1.0,0.154,0.0,2.0,0.363,2965.0,4179.0,3557.505,1354.0,1909.0,1569.593,353.0,519.0,430.527,153.0,258.0,202.648,0.0,8.0,3.319,4898.0,6808.0,5763.593,0.117,0.163,0.138,524.116,728.475,616.637
2020-03-19,1.0,0.0,0.0,2.0,0.143,0.0,3.0,0.505,3019.0,4283.0,3656.912,1622.0,2319.0,1898.363,420.0,629.0,528.714,218.0,366.0,291.912,1.0,14.0,5.297,5395.0,7550.0,6381.198,0.129,0.181,0.153,497.83,696.74,588.78
2020-03-20,1.0,0.0,0.0,2.0,0.231,0.0,3.0,0.736,3078.0,4338.0,3685.626,1892.0,2693.0,2230.077,499.0,741.0,634.187,323.0,510.0,414.121,4.0,16.0,8.484,5934.0,8252.0,6972.495,0.142,0.198,0.167,477.056,663.405,560.335
