date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.326,2.326,2.326
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.656,0.0,0.0,0.0,4.652,16.282,8.503
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,12.099,0.0,1.0,0.007,0.0,1.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,12.113,0.0,0.0,0.0,18.606,41.864,28.171
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,52.0,40.139,0.0,1.0,0.139,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,31.0,53.0,40.298,0.0,0.0,0.0,72.053,123.188,93.665
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,162.0,133.49,0.0,4.0,0.662,0.0,2.0,0.146,0.0,0.0,0.0,0.0,0.0,0.0,112.0,163.0,134.298,0.0,0.0,0.0,259.314,377.395,310.941
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,522.0,441.887,0.0,7.0,2.384,0.0,3.0,0.583,0.0,0.0,0.0,0.0,0.0,0.0,367.0,528.0,444.854,0.001,0.002,0.001,829.852,1193.901,1005.894
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.0,1678.0,1439.417,1.0,16.0,8.331,0.0,7.0,2.026,0.0,0.0,0.0,0.0,0.0,0.0,1226.0,1693.0,1449.775,0.004,0.005,0.004,2423.352,3346.44,2865.673
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3698.0,4896.0,4277.093,17.0,40.0,27.503,0.0,13.0,6.854,0.0,0.0,0.0,0.0,0.0,0.0,3723.0,4932.0,4311.45,0.011,0.015,0.013,4198.457,5561.856,4862.057
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7868.0,10367.0,9056.444,66.0,118.0,90.695,12.0,34.0,22.252,0.0,1.0,0.053,0.0,0.0,0.0,7972.0,10486.0,9169.444,0.024,0.032,0.028,2821.758,3711.61,3245.604
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10567.0,13704.0,12061.099,228.0,342.0,285.854,49.0,97.0,71.318,0.0,1.0,0.159,0.0,0.0,0.0,10871.0,14101.0,12418.43,0.033,0.043,0.038,1352.276,1754.065,1544.765
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11265.0,14792.0,12975.258,658.0,915.0,786.861,156.0,242.0,196.298,0.0,3.0,0.543,0.0,0.0,0.0,12165.0,15919.0,13958.96,0.037,0.048,0.042,1000.119,1308.746,1147.606
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11223.0,14602.0,12877.907,1533.0,2096.0,1783.272,371.0,551.0,443.073,0.0,6.0,1.901,0.0,0.0,0.0,13216.0,17206.0,15106.152,0.04,0.052,0.046,994.495,1294.74,1136.728
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10578.0,13820.0,12139.47,2821.0,3794.0,3278.464,709.0,976.0,818.934,1.0,13.0,6.503,0.0,0.0,0.0,14219.0,18599.0,16243.371,0.043,0.057,0.049,1053.923,1378.572,1203.971
2020-03-16,0.0,0.0,0.0,1.0,0.013,0.0,1.0,0.013,9678.0,12661.0,11078.258,4406.0,5836.0,5072.079,1054.0,1498.0,1271.656,9.0,36.0,21.781,0.0,0.0,0.0,15268.0,20011.0,17443.775,0.046,0.061,0.053,1128.891,1479.581,1289.765
2020-03-17,0.0,0.0,0.0,2.0,0.086,0.0,2.0,0.099,8842.0,11562.0,10048.848,6028.0,7813.0,6881.139,1442.0,2017.0,1734.424,45.0,95.0,69.258,0.0,0.0,0.0,16423.0,21464.0,18733.669,0.05,0.065,0.057,1213.806,1586.381,1384.585
2020-03-18,0.0,0.0,0.0,1.0,0.079,0.0,3.0,0.179,8153.0,10688.0,9277.934,7441.0,9558.0,8472.762,1841.0,2533.0,2165.358,160.0,262.0,202.483,0.0,1.0,0.007,17605.0,22994.0,20118.543,0.053,0.07,0.061,1301.083,1699.353,1486.844
2020-03-19,0.0,0.0,0.0,2.0,0.285,0.0,3.0,0.464,7792.0,10164.0,8865.444,8509.0,10966.0,9701.503,2140.0,3001.0,2543.04,402.0,606.0,498.642,0.0,1.0,0.02,18905.0,24696.0,21608.649,0.057,0.075,0.066,1397.144,1825.045,1596.951
2020-03-20,3.0,3.0,0.0,3.0,0.47,0.0,4.0,0.934,7614.0,9977.0,8785.04,9247.0,11971.0,10502.046,2427.0,3366.0,2875.821,889.0,1221.0,1045.967,0.0,1.0,0.073,20261.0,26487.0,23208.947,0.062,0.08,0.071,1497.281,1957.402,1715.212
2020-03-21,5.0,2.0,0.0,4.0,0.94,0.0,6.0,1.874,7717.0,10168.0,8974.841,9558.0,12407.0,10870.841,2678.0,3704.0,3168.921,1630.0,2196.0,1902.285,0.0,2.0,0.344,21695.0,28389.0,24917.232,0.066,0.086,0.076,1603.257,2097.966,1841.439
2020-03-22,5.0,0.0,0.0,7.0,1.424,0.0,8.0,3.298,8051.0,10660.0,9365.53,9568.0,12396.0,10887.298,2888.0,3986.0,3424.974,2629.0,3526.0,3076.629,0.0,4.0,1.179,23288.0,30442.0,26755.609,0.071,0.092,0.081,1720.985,2249.689,1977.24
2020-03-23,5.0,0.0,0.0,10.0,2.371,1.0,12.0,5.669,8586.0,11206.0,9913.318,9327.0,12149.0,10640.868,3054.0,4194.0,3640.735,3911.0,5187.0,4537.212,0.0,10.0,4.04,25029.0,32626.0,28736.172,0.076,0.099,0.087,1849.281,2411.02,2123.398
2020-03-24,7.0,2.0,0.0,11.0,3.424,2.0,17.0,9.093,9212.0,11925.0,10561.238,8942.0,11730.0,10253.974,3213.0,4351.0,3803.04,5442.0,7076.0,6226.543,3.0,23.0,12.636,26901.0,35074.0,30857.43,0.082,0.107,0.094,1987.185,2591.566,2279.531
2020-03-25,9.0,2.0,0.0,12.0,4.55,5.0,24.0,13.642,9868.0,12687.0,11298.126,8652.0,11295.0,9859.656,3305.0,4456.0,3909.768,7054.0,9112.0,8026.013,24.0,62.0,38.748,28912.0,37584.0,33132.311,0.088,0.114,0.101,2134.252,2775.067,2445.722
2020-03-26,9.0,0.0,0.0,12.0,5.874,10.0,31.0,19.517,10568.0,13722.0,12114.371,8463.0,10914.0,9587.099,3395.0,4500.0,3960.947,8525.0,11188.0,9813.695,75.0,137.0,102.066,31060.0,40424.0,35578.179,0.094,0.123,0.108,2287.38,2980.075,2621.8
2020-03-27,11.0,2.0,2.0,16.0,7.523,14.0,39.0,27.04,11387.0,14665.0,12988.914,8375.0,10883.0,9517.02,3413.0,4473.0,3975.424,9981.0,13082.0,11481.483,188.0,275.0,231.821,33387.0,43356.0,38194.662,0.101,0.132,0.116,2450.337,3185.304,2805.578
2020-03-28,16.0,5.0,1.0,19.0,9.04,21.0,50.0,36.079,12194.0,15833.0,13932.629,8458.0,11023.0,9655.914,3438.0,4449.0,3972.596,11255.0,14812.0,12964.43,389.0,555.0,468.762,35800.0,46583.0,40994.331,0.109,0.142,0.125,2612.111,3404.206,2994.972
2020-03-29,18.0,2.0,3.0,19.0,9.993,32.0,61.0,46.073,13058.0,17025.0,14925.868,8705.0,11395.0,9994.728,3462.0,4494.0,3978.536,12388.0,16273.0,14227.483,729.0,1013.0,852.172,38416.0,49967.0,43978.788,0.117,0.152,0.134,2779.723,3620.151,3187.198
2020-03-30,24.0,6.0,4.0,27.0,11.603,40.0,76.0,57.675,14016.0,18184.0,15958.278,9052.0,11886.0,10498.649,3534.0,4581.0,4027.934,13251.0,17438.0,15243.146,1242.0,1650.0,1421.404,41220.0,53533.0,47149.411,0.125,0.163,0.143,2947.558,3835.727,3379.449
2020-03-31,30.0,6.0,3.0,22.0,12.523,50.0,89.0,70.199,14898.0,19511.0,17029.185,9692.0,12598.0,11143.861,3639.0,4674.0,4131.974,13956.0,18309.0,16015.609,1881.0,2558.0,2198.166,44170.0,57463.0,50518.795,0.134,0.175,0.153,3118.496,4060.171,3571.052
2020-04-01,38.0,8.0,5.0,24.0,13.444,58.0,103.0,83.642,15909.0,20821.0,18127.146,10327.0,13367.0,11889.351,3772.0,4873.0,4294.98,14445.0,18999.0,16569.344,2779.0,3671.0,3199.338,47314.0,61567.0,54080.159,0.144,0.187,0.164,3285.591,4280.107,3760.259
