date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.499,1.499,1.499
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.901,0.0,0.0,0.0,2.969,8.908,4.307
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.541,0.0,1.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.577,0.0,0.0,0.0,4.377,18.966,11.054
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,18.82,0.0,1.0,0.135,0.0,1.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,18.982,0.0,0.001,0.001,12.723,38.17,26.835
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,62.0,45.568,0.0,3.0,0.523,0.0,1.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,24.0,62.0,46.216,0.001,0.002,0.001,32.097,82.918,61.809
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,139.0,105.757,0.0,6.0,1.559,0.0,2.0,0.423,0.0,0.0,0.0,0.0,0.0,0.0,61.0,139.0,107.739,0.002,0.004,0.003,74.221,169.127,131.09
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,307.0,235.315,0.0,9.0,3.811,0.0,5.0,1.063,0.0,0.0,0.0,0.0,0.0,0.0,162.0,308.0,240.189,0.005,0.01,0.008,169.177,321.645,250.83
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,625.0,481.577,3.0,17.0,9.342,0.0,7.0,2.703,0.0,1.0,0.009,0.0,0.0,0.0,334.0,640.0,493.631,0.01,0.02,0.015,277.317,531.386,409.857
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,1123.0,875.613,10.0,38.0,22.649,0.0,15.0,6.523,0.0,1.0,0.027,0.0,0.0,0.0,618.0,1167.0,904.811,0.019,0.037,0.028,374.972,708.078,548.994
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,1763.0,1387.775,31.0,73.0,52.414,2.0,30.0,13.387,0.0,1.0,0.099,0.0,0.0,0.0,996.0,1855.0,1453.676,0.031,0.058,0.046,409.966,763.54,598.35
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0,2440.0,1907.414,70.0,148.0,111.829,15.0,45.0,28.36,0.0,2.0,0.387,0.0,0.0,0.0,1374.0,2621.0,2047.991,0.043,0.082,0.064,365.779,697.748,545.205
2020-03-15,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.009,1593.0,2978.0,2319.378,140.0,282.0,216.315,34.0,84.0,55.505,0.0,4.0,1.099,0.0,0.0,0.0,1774.0,3334.0,2592.297,0.056,0.104,0.081,301.862,567.31,441.103
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009,1759.0,3297.0,2545.414,256.0,485.0,386.144,66.0,133.0,98.369,0.0,7.0,2.604,0.0,0.0,0.0,2085.0,3915.0,3032.532,0.065,0.123,0.095,232.776,437.083,338.562
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009,1766.0,3346.0,2580.333,416.0,781.0,622.694,111.0,205.0,158.982,1.0,14.0,6.523,0.0,0.0,0.0,2299.0,4340.0,3368.532,0.072,0.136,0.105,178.725,337.393,261.871
2020-03-18,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.018,1677.0,3221.0,2461.243,613.0,1126.0,918.216,161.0,311.0,234.459,5.0,24.0,14.946,0.0,0.0,0.0,2463.0,4680.0,3628.865,0.077,0.147,0.114,144.495,274.559,212.892
2020-03-19,0.0,0.0,0.0,1.0,0.027,0.0,1.0,0.045,1528.0,2898.0,2243.937,856.0,1568.0,1244.739,218.0,410.0,320.955,19.0,50.0,33.631,0.0,1.0,0.009,2626.0,4926.0,3843.27,0.082,0.154,0.12,126.343,237.001,184.908
2020-03-20,0.0,0.0,0.0,1.0,0.072,0.0,2.0,0.117,1349.0,2566.0,1987.523,1076.0,1976.0,1563.991,268.0,514.0,409.486,40.0,103.0,69.324,0.0,1.0,0.018,2740.0,5147.0,4030.342,0.086,0.161,0.126,115.973,217.852,170.588
2020-03-21,1.0,1.0,0.0,1.0,0.054,0.0,2.0,0.171,1164.0,2176.0,1729.027,1265.0,2360.0,1841.514,336.0,632.0,494.171,87.0,185.0,134.955,0.0,1.0,0.063,2856.0,5353.0,4199.73,0.089,0.168,0.131,111.869,209.676,164.5
2020-03-22,1.0,0.0,0.0,1.0,0.045,0.0,2.0,0.216,1042.0,1892.0,1506.523,1381.0,2679.0,2047.982,387.0,734.0,569.0,162.0,312.0,239.874,0.0,2.0,0.18,2973.0,5560.0,4363.559,0.093,0.174,0.137,111.348,208.239,163.422
2020-03-23,2.0,1.0,0.0,2.0,0.207,0.0,3.0,0.423,926.0,1714.0,1331.297,1443.0,2818.0,2167.414,416.0,820.0,632.775,263.0,505.0,396.099,0.0,2.0,0.414,3100.0,5749.0,4528.0,0.097,0.18,0.142,113.214,209.957,165.35
2020-03-24,2.0,0.0,0.0,2.0,0.333,0.0,3.0,0.757,850.0,1516.0,1207.64,1477.0,2849.0,2194.117,463.0,880.0,682.126,404.0,773.0,608.441,0.0,4.0,1.297,3214.0,5982.0,4693.622,0.101,0.187,0.147,115.751,215.439,168.992
2020-03-25,2.0,0.0,0.0,3.0,0.514,0.0,4.0,1.27,799.0,1407.0,1127.036,1449.0,2795.0,2139.748,496.0,915.0,716.955,583.0,1119.0,876.73,0.0,8.0,3.279,3327.0,6190.0,4863.748,0.104,0.194,0.152,118.907,221.124,173.713
2020-03-26,2.0,0.0,0.0,3.0,0.739,0.0,6.0,2.009,785.0,1325.0,1080.964,1358.0,2639.0,2025.324,507.0,936.0,735.009,796.0,1541.0,1189.171,0.0,15.0,7.126,3452.0,6398.0,5037.595,0.108,0.2,0.158,122.647,227.392,179.04
2020-03-27,3.0,1.0,0.0,5.0,0.973,0.0,7.0,2.982,755.0,1294.0,1055.946,1248.0,2428.0,1868.604,508.0,938.0,739.081,1043.0,1957.0,1533.883,2.0,28.0,15.748,3567.0,6634.0,5213.261,0.112,0.208,0.163,126.204,234.759,184.566
2020-03-28,3.0,0.0,0.0,5.0,1.342,0.0,10.0,4.324,748.0,1326.0,1056.261,1125.0,2196.0,1696.234,490.0,919.0,725.55,1295.0,2382.0,1886.315,15.0,50.0,32.117,3684.0,6873.0,5396.477,0.115,0.215,0.169,129.737,241.989,190.256
2020-03-29,3.0,0.0,0.0,6.0,1.514,0.0,13.0,5.838,773.0,1345.0,1070.432,1003.0,1981.0,1531.486,487.0,890.0,700.378,1527.0,2863.0,2222.153,42.0,87.0,62.369,3833.0,7101.0,5586.82,0.12,0.222,0.175,134.329,248.597,195.803
2020-03-30,6.0,3.0,0.0,6.0,1.793,2.0,16.0,7.631,794.0,1375.0,1091.36,932.0,1794.0,1384.018,473.0,831.0,666.703,1702.0,3257.0,2524.658,78.0,154.0,112.477,3981.0,7334.0,5779.216,0.125,0.23,0.181,138.213,254.565,200.773
2020-03-31,8.0,2.0,0.0,6.0,2.144,2.0,19.0,9.775,817.0,1404.0,1119.297,868.0,1631.0,1269.072,457.0,785.0,624.477,1865.0,3596.0,2778.054,133.0,260.0,188.64,4140.0,7587.0,5979.541,0.13,0.238,0.187,141.94,260.714,205.132
2020-04-01,11.0,3.0,0.0,7.0,2.613,4.0,21.0,12.387,831.0,1405.0,1146.108,825.0,1518.0,1184.117,415.0,727.0,584.64,1988.0,3854.0,2968.865,201.0,383.0,297.081,4267.0,7820.0,6180.811,0.134,0.245,0.194,144.015,264.547,208.398
