date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.12,1.12,1.12
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.435,0.0,0.0,0.0,1.088,4.353,2.65
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.037,0.0,1.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.065,0.0,0.0,0.0,2.097,11.532,5.31
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,10.315,0.0,2.0,0.139,0.0,1.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,10.491,0.0,0.001,0.0,4.0,17.002,10.492
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,31.0,20.426,0.0,2.0,0.417,0.0,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,31.0,20.963,0.0,0.001,0.001,11.312,29.223,19.762
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,51.0,39.722,0.0,4.0,1.093,0.0,2.0,0.204,0.0,0.0,0.0,0.0,0.0,0.0,23.0,53.0,41.019,0.001,0.002,0.001,20.154,46.443,35.944
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,98.0,74.398,0.0,7.0,2.417,0.0,3.0,0.519,0.0,0.0,0.0,0.0,0.0,0.0,54.0,103.0,77.333,0.002,0.003,0.002,43.297,82.584,62.005
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,169.0,133.111,0.0,12.0,5.148,0.0,6.0,1.139,0.0,0.0,0.0,0.0,0.0,0.0,106.0,176.0,139.398,0.003,0.006,0.004,76.435,126.911,100.518
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,295.0,229.537,3.0,19.0,9.907,0.0,6.0,2.352,0.0,1.0,0.019,0.0,0.0,0.0,185.0,312.0,241.815,0.006,0.01,0.008,117.819,198.701,154.002
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,463.0,372.352,10.0,31.0,18.852,1.0,11.0,4.769,0.0,1.0,0.102,0.0,0.0,0.0,307.0,494.0,396.074,0.01,0.015,0.012,169.569,272.856,218.768
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,725.0,572.667,19.0,55.0,34.861,3.0,15.0,9.009,0.0,2.0,0.269,0.0,0.0,0.0,488.0,776.0,616.806,0.015,0.024,0.019,229.744,365.33,290.384
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,1025.0,824.833,41.0,85.0,63.713,6.0,26.0,16.185,0.0,3.0,0.62,0.0,0.0,0.0,691.0,1128.0,905.352,0.022,0.035,0.028,272.96,445.584,357.633
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.0,1410.0,1127.546,77.0,145.0,108.546,13.0,46.0,28.0,0.0,5.0,1.519,0.0,0.0,0.0,1008.0,1586.0,1265.611,0.032,0.05,0.04,329.688,518.736,413.946
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.0,1795.0,1451.556,132.0,237.0,178.87,28.0,73.0,46.963,0.0,8.0,3.185,0.0,0.0,0.0,1328.0,2093.0,1680.574,0.042,0.066,0.053,355.947,560.991,450.448
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.0,2214.0,1773.713,197.0,361.0,279.194,47.0,104.0,73.056,1.0,15.0,6.287,0.0,0.0,0.0,1694.0,2680.0,2132.25,0.053,0.084,0.067,369.511,584.587,465.106
2020-03-19,0.0,0.0,0.0,1.0,0.019,0.0,1.0,0.019,1599.0,2618.0,2057.889,313.0,523.0,419.176,71.0,153.0,109.213,4.0,21.0,11.824,0.0,1.0,0.009,2023.0,3306.0,2598.111,0.063,0.103,0.081,357.916,584.909,459.665
2020-03-20,0.0,0.0,0.0,1.0,0.019,0.0,1.0,0.037,1762.0,2879.0,2278.704,439.0,750.0,596.102,112.0,219.0,155.602,12.0,34.0,22.102,0.0,1.0,0.028,2366.0,3833.0,3052.537,0.074,0.12,0.096,339.495,550.227,438.187
2020-03-21,1.0,1.0,0.0,1.0,0.019,0.0,1.0,0.056,1871.0,3074.0,2424.778,628.0,1013.0,812.972,162.0,280.0,212.787,26.0,60.0,41.148,0.0,1.0,0.056,2711.0,4412.0,3491.741,0.085,0.138,0.109,316.909,515.942,408.32
2020-03-22,1.0,0.0,0.0,1.0,0.037,0.0,1.0,0.093,1914.0,3174.0,2497.519,825.0,1303.0,1052.435,212.0,372.0,278.491,51.0,100.0,71.676,0.0,2.0,0.176,3014.0,4898.0,3900.296,0.094,0.153,0.122,289.214,470.153,374.368
2020-03-23,2.0,1.0,0.0,1.0,0.111,0.0,1.0,0.204,1880.0,3146.0,2488.472,1029.0,1624.0,1313.13,273.0,474.0,354.25,84.0,166.0,118.13,0.0,2.0,0.315,3280.0,5346.0,4274.296,0.103,0.167,0.134,261.184,425.828,340.438
2020-03-24,2.0,0.0,0.0,2.0,0.176,0.0,2.0,0.38,1812.0,3036.0,2427.963,1223.0,1993.0,1566.611,347.0,569.0,431.917,134.0,245.0,189.815,0.0,4.0,0.769,3539.0,5781.0,4617.074,0.111,0.181,0.145,237.101,387.349,309.364
2020-03-25,2.0,0.0,0.0,2.0,0.167,0.0,2.0,0.546,1734.0,2921.0,2313.287,1417.0,2300.0,1806.769,415.0,666.0,512.046,214.0,377.0,290.194,0.0,5.0,1.435,3793.0,6194.0,4923.731,0.119,0.194,0.154,217.266,354.776,282.027
2020-03-26,2.0,0.0,0.0,2.0,0.231,0.0,4.0,0.778,1670.0,2731.0,2174.5,1552.0,2570.0,2011.343,461.0,769.0,589.083,328.0,546.0,426.861,0.0,9.0,3.046,4035.0,6530.0,5204.833,0.126,0.204,0.163,201.066,325.255,259.336
2020-03-27,3.0,1.0,0.0,2.0,0.343,0.0,4.0,1.12,1567.0,2550.0,2025.963,1661.0,2759.0,2171.806,518.0,857.0,659.231,470.0,767.0,603.167,0.0,14.0,5.778,4228.0,6862.0,5465.944,0.132,0.215,0.171,186.7,302.714,241.225
2020-03-28,3.0,0.0,0.0,2.0,0.463,0.0,5.0,1.583,1438.0,2362.0,1874.815,1736.0,2902.0,2276.222,558.0,931.0,720.417,635.0,1038.0,824.491,2.0,19.0,10.796,4414.0,7186.0,5706.741,0.138,0.225,0.179,175.665,285.919,227.043
2020-03-29,3.0,0.0,0.0,3.0,0.787,0.0,7.0,2.37,1343.0,2200.0,1738.148,1763.0,2985.0,2323.028,603.0,975.0,769.759,850.0,1386.0,1083.574,9.0,29.0,19.38,4608.0,7459.0,5933.889,0.144,0.233,0.186,167.91,271.985,216.363
2020-03-30,6.0,3.0,0.0,4.0,0.806,0.0,8.0,3.176,1239.0,2035.0,1615.63,1768.0,2986.0,2319.278,631.0,1025.0,805.648,1077.0,1754.0,1374.343,20.0,52.0,35.083,4778.0,7713.0,6149.981,0.15,0.241,0.192,161.956,261.414,208.494
2020-03-31,8.0,2.0,0.0,4.0,1.019,1.0,9.0,4.194,1166.0,1898.0,1512.056,1735.0,2913.0,2268.093,637.0,1068.0,827.278,1313.0,2128.0,1692.602,36.0,78.0,58.139,4939.0,7975.0,6358.167,0.155,0.25,0.199,157.816,254.78,202.949
