date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.724,0.724,0.724
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.953,0.0,0.0,0.0,0.711,2.843,1.388
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.642,0.0,1.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.66,0.0,0.0,0.0,0.693,5.546,2.538
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,6.425,0.0,1.0,0.075,0.0,1.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,6.528,0.0,0.0,0.0,1.343,11.415,4.383
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,10.66,0.0,2.0,0.321,0.0,1.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,11.066,0.0,0.0,0.0,2.578,18.689,7.131
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,17.245,0.0,3.0,0.755,0.0,2.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,9.0,41.0,18.17,0.0,0.001,0.0,5.505,25.081,11.115
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,56.0,27.274,0.0,5.0,1.519,0.0,3.0,0.396,0.0,0.0,0.0,0.0,0.0,0.0,12.0,58.0,29.189,0.0,0.001,0.0,6.877,33.237,16.726
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,87.0,42.868,0.0,8.0,2.849,0.0,4.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,24.0,93.0,46.377,0.0,0.001,0.001,12.687,49.161,24.515
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,119.0,64.981,0.0,12.0,5.226,0.0,5.0,1.189,0.0,1.0,0.009,0.0,0.0,0.0,35.0,129.0,71.406,0.001,0.002,0.001,16.772,61.818,34.218
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,176.0,94.17,1.0,18.0,8.509,0.0,8.0,2.236,0.0,1.0,0.057,0.0,0.0,0.0,49.0,193.0,104.972,0.001,0.003,0.002,20.886,82.267,44.744
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,234.0,131.377,3.0,26.0,13.547,1.0,10.0,3.698,0.0,2.0,0.217,0.0,0.0,0.0,69.0,265.0,148.84,0.001,0.004,0.002,25.644,98.488,55.317
