date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.868,0.868,0.868
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.981,0.0,0.0,0.0,0.861,4.304,1.705
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.66,0.0,1.0,0.009,0.0,1.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.679,0.0,0.0,0.0,0.853,5.969,3.137
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,6.67,0.0,1.0,0.094,0.0,1.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,6.783,0.0,0.0,0.0,2.528,10.113,5.716
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,12.16,0.0,2.0,0.34,0.0,1.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,12.594,0.0,0.0,0.0,4.985,15.784,10.463
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,22.358,0.0,3.0,0.755,0.0,2.0,0.151,0.0,0.0,0.0,0.0,0.0,0.0,17.0,32.0,23.264,0.0,0.0,0.0,13.88,26.127,18.994
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,53.0,40.585,0.0,5.0,1.698,0.0,4.0,0.292,0.0,0.0,0.0,0.0,0.0,0.0,31.0,56.0,42.575,0.0,0.001,0.0,24.784,44.771,34.039
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,93.0,71.802,0.0,8.0,3.16,0.0,4.0,0.745,0.0,1.0,0.009,0.0,0.0,0.0,60.0,98.0,75.717,0.001,0.001,0.001,46.77,76.391,59.021
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,169.0,127.736,1.0,13.0,5.991,0.0,6.0,1.425,0.0,1.0,0.019,0.0,0.0,0.0,111.0,178.0,135.17,0.001,0.002,0.001,83.936,134.6,102.213
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,270.0,223.255,5.0,17.0,10.783,0.0,8.0,2.67,0.0,1.0,0.075,0.0,0.0,0.0,198.0,289.0,236.783,0.002,0.003,0.002,144.401,210.768,172.686
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,451.0,386.377,9.0,32.0,19.443,1.0,12.0,4.943,0.0,2.0,0.217,0.0,0.0,0.0,356.0,480.0,410.981,0.004,0.005,0.004,248.742,335.383,287.158
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,751.0,654.009,21.0,51.0,35.425,3.0,16.0,9.142,0.0,3.0,0.528,0.0,0.0,0.0,610.0,817.0,699.104,0.006,0.008,0.007,405.302,542.839,464.505
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.0,1241.0,1080.726,46.0,87.0,64.255,8.0,26.0,16.198,0.0,3.0,0.972,0.0,0.0,0.0,983.0,1338.0,1162.151,0.01,0.013,0.012,615.986,838.442,728.248
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.0,2014.0,1752.009,82.0,144.0,111.358,18.0,43.0,28.972,0.0,5.0,1.991,0.0,0.0,0.0,1632.0,2177.0,1894.33,0.016,0.022,0.019,955.935,1275.166,1109.593
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2367.0,3178.0,2757.236,155.0,231.0,191.887,36.0,71.0,50.302,0.0,9.0,3.651,0.0,0.0,0.0,2580.0,3464.0,3003.075,0.026,0.034,0.03,1399.31,1878.764,1628.773
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3625.0,4859.0,4216.321,273.0,392.0,325.396,63.0,107.0,84.085,2.0,15.0,7.047,0.0,0.0,0.0,3968.0,5345.0,4632.849,0.039,0.053,0.046,1973.38,2658.195,2304.025
2020-03-10,0.0,0.0,0.0,1.0,0.009,0.0,1.0,0.009,5395.0,7151.0,6245.877,439.0,630.0,540.736,102.0,172.0,139.264,5.0,25.0,12.915,0.0,1.0,0.009,5944.0,7946.0,6938.802,0.059,0.079,0.069,2684.092,3588.122,3133.304
2020-03-11,1.0,1.0,0.0,1.0,0.009,0.0,1.0,0.019,7671.0,10252.0,8930.849,758.0,1021.0,879.877,169.0,273.0,226.208,13.0,37.0,23.264,0.0,1.0,0.038,8614.0,11543.0,10060.236,0.085,0.114,0.1,3498.165,4687.639,4085.47
2020-03-12,1.0,0.0,0.0,1.0,0.019,0.0,1.0,0.038,10567.0,14080.0,12353.189,1231.0,1650.0,1393.717,287.0,424.0,359.16,30.0,61.0,42.321,0.0,1.0,0.066,12115.0,16159.0,14148.453,0.12,0.16,0.14,4384.78,5848.424,5120.723
2020-03-13,1.0,0.0,0.0,1.0,0.047,0.0,1.0,0.085,14086.0,18720.0,16489.575,1884.0,2540.0,2156.009,436.0,665.0,555.5,56.0,94.0,75.745,0.0,2.0,0.208,16468.0,21937.0,19277.038,0.163,0.217,0.191,5268.522,7018.191,6167.136
2020-03-14,2.0,1.0,0.0,1.0,0.009,0.0,1.0,0.094,18288.0,24190.0,21227.311,2776.0,3850.0,3246.66,680.0,997.0,838.925,106.0,160.0,130.123,0.0,2.0,0.462,21858.0,29086.0,25443.481,0.217,0.288,0.252,6137.272,8167.118,7144.198
2020-03-15,3.0,1.0,0.0,2.0,0.16,0.0,2.0,0.255,22719.0,30101.0,26387.83,4082.0,5601.0,4745.906,1015.0,1458.0,1234.679,180.0,265.0,220.887,0.0,3.0,1.075,28002.0,37282.0,32590.377,0.277,0.369,0.323,6860.969,9134.809,7985.221
2020-03-16,6.0,3.0,0.0,2.0,0.179,0.0,2.0,0.434,27409.0,36203.0,31727.943,5788.0,7786.0,6720.802,1481.0,2023.0,1760.0,305.0,434.0,367.462,0.0,5.0,1.925,34984.0,46358.0,40578.132,0.347,0.459,0.402,7448.001,9869.352,8638.814
2020-03-17,7.0,1.0,0.0,2.0,0.434,0.0,4.0,0.868,31999.0,42012.0,36935.66,7909.0,10795.0,9242.406,2035.0,2779.0,2436.934,505.0,709.0,603.604,1.0,8.0,3.566,42450.0,56226.0,49222.17,0.421,0.557,0.488,7831.817,10373.541,9081.019
2020-03-18,10.0,3.0,0.0,3.0,0.547,0.0,4.0,1.415,36060.0,47645.0,41694.774,10580.0,14260.0,12340.481,2773.0,3722.0,3284.085,826.0,1121.0,967.283,2.0,14.0,6.528,50243.0,66675.0,58293.151,0.498,0.661,0.578,8025.301,10650.029,9310.848
2020-03-19,11.0,1.0,0.0,5.0,0.915,0.0,8.0,2.33,39614.0,52527.0,45798.698,13660.0,18242.0,15972.764,3669.0,4909.0,4306.509,1269.0,1774.0,1511.425,3.0,20.0,11.736,58220.0,77341.0,67601.132,0.577,0.766,0.67,8057.351,10703.964,9355.313
2020-03-20,16.0,5.0,0.0,4.0,1.189,0.0,11.0,3.519,42480.0,56156.0,49061.689,17263.0,22986.0,20058.943,4656.0,6267.0,5483.009,1983.0,2722.0,2310.123,10.0,32.0,20.906,66397.0,87998.0,76934.67,0.658,0.872,0.762,7981.349,10578.395,9247.621
2020-03-21,20.0,4.0,0.0,6.0,2.057,1.0,15.0,5.575,44470.0,58946.0,51401.377,21078.0,28096.0,24501.925,5804.0,7675.0,6806.925,2945.0,3995.0,3431.453,23.0,52.0,37.613,74329.0,98700.0,86179.292,0.737,0.978,0.854,7791.873,10346.41,9034.08
2020-03-22,21.0,1.0,0.0,9.0,2.934,3.0,17.0,8.509,45608.0,60546.0,52828.368,25044.0,33314.0,29092.17,7052.0,9266.0,8246.651,4274.0,5846.0,4974.915,45.0,86.0,64.066,82040.0,108957.0,95206.17,0.813,1.08,0.943,7541.713,10017.163,8752.769
2020-03-23,25.0,4.0,0.0,11.0,4.302,5.0,24.0,12.811,46195.0,61185.0,53383.708,29021.0,38591.0,33661.5,8331.0,10945.0,9763.066,6004.0,8222.0,7026.415,87.0,153.0,110.066,89647.0,118991.0,103944.755,0.888,1.179,1.03,7277.577,9660.175,8438.376
2020-03-24,36.0,11.0,1.0,13.0,5.858,10.0,31.0,18.67,46057.0,60935.0,53211.802,32689.0,43613.0,37998.264,9705.0,12645.0,11295.943,8362.0,11212.0,9667.094,152.0,248.0,186.443,96965.0,128567.0,112359.547,0.961,1.274,1.113,7006.854,9289.638,8118.543
2020-03-25,62.0,26.0,1.0,15.0,7.774,15.0,42.0,26.443,45405.0,59985.0,52478.953,36125.0,48240.0,41926.396,10974.0,14338.0,12795.708,11244.0,14963.0,12957.16,257.0,374.0,306.972,104005.0,137866.0,120465.189,1.031,1.366,1.194,6747.522,8944.363,7814.804
2020-03-26,77.0,15.0,5.0,22.0,10.236,21.0,56.0,36.679,44363.0,58806.0,51341.113,39067.0,52010.0,45262.623,12248.0,16026.0,14221.472,14619.0,19456.0,16930.953,422.0,578.0,495.679,110720.0,146862.0,128251.84,1.097,1.455,1.271,6508.059,8632.293,7538.234
2020-03-27,105.0,28.0,4.0,22.0,13.406,31.0,70.0,50.085,43094.0,57139.0,49920.009,41460.0,55112.0,47938.83,13379.0,17478.0,15530.255,18481.0,24745.0,21577.425,662.0,896.0,781.151,117076.0,155370.0,135747.67,1.16,1.54,1.345,6293.291,8350.798,7296.232
2020-03-28,105.0,0.0,5.0,27.0,16.33,49.0,86.0,66.415,41801.0,55334.0,48443.519,43087.0,57359.0,49856.425,14385.0,18809.0,16664.821,23056.0,30731.0,26855.443,1014.0,1402.0,1205.83,123343.0,163635.0,143026.038,1.222,1.621,1.417,6118.357,8114.179,7093.222
2020-03-29,110.0,5.0,9.0,33.0,21.189,64.0,114.0,87.604,40565.0,53540.0,46940.179,44114.0,58486.0,51053.462,15224.0,19995.0,17621.33,28054.0,37475.0,32655.028,1539.0,2108.0,1819.925,129496.0,171604.0,150089.925,1.283,1.7,1.487,5977.542,7918.046,6926.469
2020-03-30,146.0,36.0,16.0,43.0,26.802,88.0,144.0,114.406,39328.0,51913.0,45517.406,44469.0,59059.0,51559.396,15821.0,20860.0,18375.434,33574.0,44654.0,38857.142,2220.0,3117.0,2681.698,135412.0,179603.0,156991.075,1.342,1.78,1.556,5863.931,7769.999,6793.648
2020-03-31,180.0,34.0,20.0,49.0,32.142,115.0,178.0,146.547,38227.0,50516.0,44217.896,44472.0,58870.0,51501.481,16283.0,21506.0,18913.67,39021.0,51917.0,45262.566,3267.0,4549.0,3865.509,141270.0,187358.0,163761.123,1.4,1.856,1.623,5773.772,7648.366,6689.715
2020-04-01,239.0,59.0,22.0,60.0,37.17,156.0,217.0,183.717,37183.0,49157.0,43067.075,44160.0,58281.0,50975.642,16623.0,21930.0,19230.821,44461.0,59181.0,51685.67,4725.0,6387.0,5451.538,147152.0,194936.0,170410.745,1.458,1.932,1.689,5705.545,7553.166,6608.172
2020-04-02,308.0,69.0,28.0,62.0,41.726,190.0,262.0,225.443,36333.0,47998.0,42085.915,43417.0,57207.0,50090.708,16657.0,22112.0,19373.028,49872.0,66424.0,57922.085,6486.0,8698.0,7508.896,152765.0,202439.0,176980.632,1.514,2.006,1.754,5648.566,7481.311,6544.153
2020-04-03,358.0,50.0,37.0,71.0,49.481,230.0,325.0,274.925,35726.0,47062.0,41271.934,42255.0,55917.0,48941.189,16645.0,22091.0,19341.83,55053.0,73181.0,63805.491,8721.0,11569.0,10108.283,158400.0,209820.0,183468.726,1.57,2.079,1.818,5604.402,7423.075,6491.102
2020-04-04,373.0,15.0,34.0,78.0,54.0,279.0,391.0,328.925,35250.0,46256.0,40598.67,41220.0,54494.0,47682.057,16587.0,21953.0,19187.943,59476.0,79215.0,69131.34,11498.0,15260.0,13315.481,164031.0,217178.0,189915.491,1.625,2.152,1.882,5566.245,7368.406,6444.5
2020-04-05,401.0,28.0,40.0,81.0,60.255,330.0,455.0,389.179,34805.0,45551.0,40040.255,40177.0,53098.0,46396.274,16324.0,21706.0,18922.179,63505.0,84389.0,73744.245,14765.0,19704.0,17193.085,169576.0,224448.0,196296.038,1.68,2.224,1.945,5530.052,7313.725,6397.793
2020-04-06,477.0,76.0,41.0,90.0,65.708,395.0,536.0,454.887,34394.0,45161.0,39556.84,39016.0,51651.0,45142.274,16085.0,21323.0,18604.34,66893.0,88694.0,77563.717,18673.0,24919.0,21752.858,175061.0,231748.0,202620.028,1.735,2.296,2.008,5488.704,7259.017,6347.842
2020-04-07,591.0,114.0,52.0,96.0,69.264,447.0,608.0,524.151,33932.0,44659.0,39151.566,37788.0,50413.0,43970.717,15776.0,20962.0,18236.226,69477.0,91868.0,80526.009,23280.0,31073.0,27007.811,180253.0,238975.0,208892.33,1.786,2.368,2.07,5429.805,7191.474,6291.512
2020-04-08,687.0,96.0,48.0,98.0,74.953,510.0,697.0,599.104,33520.0,44445.0,38794.83,37052.0,49143.0,42914.179,15511.0,20369.0,17855.019,71279.0,94225.0,82622.623,28345.0,37901.0,32924.991,185707.0,246083.0,215111.642,1.84,2.438,2.131,5378.768,7115.839,6227.296
2020-04-09,793.0,106.0,55.0,103.0,78.057,577.0,774.0,677.16,33168.0,44029.0,38416.264,36270.0,47844.0,42011.792,15196.0,19861.0,17477.726,72463.0,96137.0,83916.0,33934.0,45194.0,39445.321,191031.0,253065.0,221267.104,1.893,2.508,2.192,5317.574,7036.223,6154.483
2020-04-10,870.0,77.0,61.0,112.0,81.245,646.0,872.0,758.406,32703.0,43429.0,38067.547,35664.0,47058.0,41207.453,14824.0,19497.0,17114.547,72960.0,96688.0,84440.962,40035.0,53291.0,46517.311,196186.0,259963.0,227347.821,1.944,2.576,2.253,5243.596,6940.106,6072.341
2020-04-11,887.0,17.0,58.0,122.0,83.953,717.0,968.0,842.358,32288.0,42990.0,37675.113,35199.0,46269.0,40527.17,14534.0,19140.0,16779.717,72780.0,96782.0,84335.179,46490.0,61652.0,54015.906,201291.0,266833.0,233333.085,1.995,2.644,2.312,5164.591,6845.408,5982.519
2020-04-12,899.0,12.0,58.0,126.0,84.349,798.0,1054.0,926.708,31841.0,42543.0,37259.377,34824.0,45530.0,39940.943,14286.0,18724.0,16486.981,72084.0,95979.0,83666.038,53385.0,70806.0,61875.566,206420.0,273582.0,239228.906,2.045,2.711,2.37,5078.728,6729.469,5885.774
2020-04-13,919.0,20.0,64.0,111.0,87.434,875.0,1148.0,1014.142,31607.0,41875.0,36798.453,34300.0,44860.0,39444.038,14032.0,18520.0,16209.377,71187.0,94636.0,82591.67,60314.0,80214.0,69979.858,211440.0,280105.0,245023.396,2.095,2.775,2.428,4993.839,6605.24,5784.175
2020-04-14,1033.0,114.0,62.0,110.0,87.991,945.0,1254.0,1102.132,31275.0,41290.0,36311.387,33717.0,44422.0,38994.377,13773.0,18232.0,15961.406,70197.0,93018.0,81217.066,67336.0,89642.0,78236.764,216298.0,286604.0,250721.0,2.143,2.84,2.484,4905.152,6485.738,5679.713
2020-04-15,1203.0,170.0,63.0,122.0,88.264,1031.0,1337.0,1190.396,30881.0,40728.0,35770.443,33236.0,44047.0,38589.425,13550.0,17981.0,15745.783,68928.0,91006.0,79661.377,74518.0,99245.0,86543.943,221113.0,293007.0,256310.972,2.191,2.903,2.54,4813.527,6362.282,5574.394
2020-04-16,1333.0,130.0,62.0,111.0,87.255,1111.0,1442.0,1277.651,30417.0,40087.0,35199.868,32910.0,43581.0,38177.123,13425.0,17805.0,15547.123,67438.0,88910.0,78051.764,81734.0,108855.0,94818.981,225924.0,299238.0,261794.858,2.239,2.965,2.594,4723.668,6236.952,5470.134
2020-04-17,1400.0,67.0,64.0,124.0,90.302,1201.0,1553.0,1367.953,29949.0,39421.0,34609.83,32534.0,43201.0,37782.16,13351.0,17572.0,15356.717,65838.0,87067.0,76404.962,88930.0,118142.0,103010.16,230602.0,305403.0,267163.83,2.285,3.026,2.647,4632.52,6123.23,5367.646
2020-04-18,1511.0,111.0,62.0,106.0,87.519,1286.0,1648.0,1455.472,29601.0,38715.0,34021.075,31952.0,42678.0,37353.198,13196.0,17456.0,15183.472,64770.0,85400.0,74829.887,95771.0,127220.0,111062.151,235290.0,311469.0,272449.783,2.331,3.086,2.7,4555.219,6015.629,5269.218
2020-04-19,1540.0,29.0,64.0,115.0,87.274,1372.0,1731.0,1542.745,28986.0,38032.0,33420.085,31554.0,42084.0,36908.151,13056.0,17168.0,15008.481,63508.0,83788.0,73357.274,102604.0,136276.0,118942.425,239708.0,317348.0,277636.415,2.375,3.144,2.751,4470.884,5904.656,5174.922
2020-04-20,1580.0,40.0,63.0,111.0,87.858,1445.0,1826.0,1630.604,28407.0,37417.0,32828.717,31129.0,41412.0,36420.821,12860.0,16944.0,14816.123,62326.0,82346.0,72008.292,109241.0,144949.0,126639.047,243963.0,323068.0,282713.0,2.417,3.201,2.801,4388.847,5802.593,5084.431
2020-04-21,1765.0,185.0,65.0,108.0,84.689,1530.0,1919.0,1715.292,28023.0,36706.0,32241.302,30765.0,40805.0,35908.632,12698.0,16737.0,14633.547,61212.0,80932.0,70766.585,115699.0,153631.0,134170.189,248397.0,328811.0,287720.255,2.461,3.258,2.851,4319.434,5702.26,4998.187
