date,obs_deaths,obs_daily_deaths,lb_daily_deaths,ub_daily_deaths,mean_daily_deaths,lb_deaths,ub_deaths,mean_deaths,lb_i1,ub_i1,mean_i1,lb_i2,ub_i2,mean_i2,lb_i3,ub_i3,mean_i3,lb_r1,ub_r1,mean_r1,lb_r2,ub_r2,mean_r2,lb_infected,ub_infected,mean_infected,lb_infected_pc,ub_infected_pc,mean_infected_pc,lb_lambda,ub_lambda,mean_lambda
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.29,0.29,0.29
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.391,0.0,0.0,0.0,0.29,0.869,0.403
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.913,0.0,0.0,0.0,0.0,1.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.928,0.0,0.0,0.0,0.29,1.159,0.558
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.478,0.0,1.0,0.043,0.0,1.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.565,0.0,0.0,0.0,0.29,2.028,0.743
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.217,0.0,2.0,0.275,0.0,1.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.565,0.0,0.0,0.0,0.29,2.318,1.033
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,3.899,0.0,2.0,0.391,0.0,2.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,4.449,0.0,0.0,0.0,0.29,2.897,1.289
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,4.884,0.0,3.0,0.638,0.0,2.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,5.797,0.0,0.0,0.0,0.579,3.477,1.68
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,5.841,0.0,5.0,1.203,0.0,2.0,0.362,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,7.406,0.0,0.0,0.0,0.579,4.056,2.146
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,7.406,0.0,6.0,1.71,0.0,3.0,0.522,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,9.638,0.0,0.0,0.0,1.449,4.636,2.792
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,9.855,0.0,7.0,2.13,0.0,3.0,0.739,0.0,1.0,0.072,0.0,0.0,0.0,5.0,22.0,12.797,0.0,0.0,0.0,1.449,6.374,3.708
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,12.435,1.0,7.0,3.014,0.0,5.0,0.986,0.0,2.0,0.159,0.0,0.0,0.0,7.0,27.0,16.594,0.0,0.0,0.0,2.028,7.823,4.808
