id,date,param1,param2,param3,param4
CRI,2020-06-06,1.55790108,0.87891507,-1.37851951,0.00916963
VEN,2020-06-06,1.53992309e+00,5.84813573e-03,7.25788462e+00,7.98688092e-03
PRY,2020-06-06,7.69137817e-01,7.52148826e-01,1.07609630e+01,1.69787757e-04
PRI,2020-06-07,1.35078399,0.7030642,8.62957289,0.02601808
CUB,2020-06-06,0.7736079,0.86051921,12.23798924,0.01430247
PAN,2020-06-06,0.61255137,0.74518045,17.35841422,0.03745275
GTM,2020-06-06,8.77614276e-01,6.22025085e-03,7.04864139e+00,8.06971809e-02
DOM,2020-06-06,1.23492885e+00,8.51141448e-01,9.63346412e+00,2.31156493e-03
HND,2020-06-06,0.41131083,0.49669636,21.25842218,0.05127123
BOL,2020-06-06,6.45105159e-01,9.41947251e-01,1.28988442e+01,1.35420821e-03
SLV,2020-06-06,0.23782558,0.15160045,26.34113141,0.05189812
NIC,2020-06-06,4.5551647,0.24664688,1.8834015,0.09855074
HTI,2020-06-06,1.24704745e+00,8.84895589e-01,3.84598997e+00,3.63640566e-03
URY,2020-06-06,1.1325934,0.36978973,8.3138489,0.03018991
COL,2020-06-06,0.76240656,0.34660414,15.51222474,0.05232055
ARG,2020-06-06,0.49797283,0.08161934,20.05423752,0.05155108
CHL,2020-06-06,0.99693086,0.40286907,10.35219409,0.08319033
ECU,2020-06-06,1.01931832,0.31486297,14.20020252,0.05312508
PER,2020-06-06,2.10012717,0.24128392,8.66361288,0.06420421
MEX,2020-06-06,7.17745574e-01,9.37199680e-01,1.74052077e+01,1.52566296e-02
BRA,2020-06-06,1.0494136938370098,0.6945694469189899,14.971674496930861,0.06794741333197644
ESP,2020-06-06,1.1643812156956823,0.7519856845058068,17.24205473656006,0.01673358642821344
ESP-GA,2020-05-18,1.45598689,0.65169731,10.40990644,0.02004684
ESP-MD,2020-05-18,1.76206245,0.73465654,11.46818215,0.01691976
ESP-PV,2020-05-18,0.68881134,0.74573645,19.98071492,0.02173837
ESP-CT,2020-05-18,0.82111915,0.59880813,19.49557672,0.02816244
ESP-CL,2020-05-18,1.52461221,0.46959365,12.0106079,0.02056027
ESP-CN,2020-05-18,3.13724083,0.65490158,4.65805061,0.02056082
ESP-RI,2020-05-18,1.07349662e+00,8.55037397e-01,1.13027548e+01,1.09707183e-03
ESP-VC,2020-05-18,2.32931305,0.85693025,3.814443,0.01574629
ESP-AN,2020-05-18,1.88732677,0.74315242,8.82420583,0.01765326
ESP-AR,2020-05-18,1.12279080e+00,8.65662183e-01,1.16019696e+01,4.46101975e-03
ESP-AS,2020-05-18,1.38873413e+00,8.78711418e-01,6.52303882e+00,3.39019253e-03
ESP-CB,2020-05-18,1.99299006,0.7763114,6.00342875,0.01528975
ESP-CM,2020-05-18,1.30655182,0.50147323,13.41713272,0.02641084
ESP-EX,2020-05-18,0.80747986,0.04192786,16.65993644,0.02241327
ESP-IB,2020-05-18,1.2082107,0.754391,10.20966194,0.02074544
ESP-MC,2020-05-18,1.81887997,0.34830711,8.671572,0.01043766
